batch_size,adam_lr,probits_mae,default,logits_loss,id,loss,probits_acc1,flattened_input,hidden_layers,probits_acc,probits_loss,max_epochs,dropout_p,seed,hidden_activation,output_type,hidden_dim
64,0.01,1.1058235168457031,2.5053014755249023,1.560361623764038,LF1ox,1.560361623764038,0.6776899695396423,True,3,0.40829166769981384,,500,0.1,21,swish,categorical_unsmoohted,64
64,0.01,1.0404903888702393,2.5884242057800293,,tCXA2,0.047685280442237854,0.7210840582847595,False,2,0.38603001832962036,0.047685280442237854,500,0.5,21,swish,ordinal_vanilla,256
64,0.001,1.0085498094558716,2.279049873352051,,nKrVO,0.04534158855676651,0.7333440780639648,False,1,0.39603161811828613,0.04534158855676651,500,0.1,21,swish,ordinal_vanilla,128
32,0.001,1.1398612260818481,2.6439990997314453,1.8544707298278809,aEoTw,1.8544707298278809,0.6794644594192505,True,1,0.4068398177623749,,500,0.1,21,swish,categorical_smoothed,512
128,0.0001,1.1871269941329956,2.7701451778411865,1.8562573194503784,zFZLj,1.8562573194503784,0.6583319902420044,False,1,0.4005484879016876,,500,0.5,21,swish,categorical_smoothed,256
128,0.001,1.022261619567871,2.441621780395508,,bfBRQ,0.04554182291030884,0.7307630181312561,True,1,0.39103081822395325,0.04554182291030884,500,0.1,21,swish,ordinal_vanilla,16
64,0.0001,1.0217777490615845,2.3792800903320312,,JzQmU,0.04567582160234451,0.7312469482421875,False,2,0.39103081822395325,0.04567582160234451,500,0.1,21,swish,ordinal_vanilla,512
64,0.001,1.0969511270523071,2.438836097717285,1.810427188873291,PQivJ,1.810427188873291,0.6876915693283081,True,2,0.4153895676136017,,500,0.1,21,swish,categorical_smoothed,16
32,0.0001,1.1642200946807861,2.735086441040039,1.8562039136886597,Rdj7m,1.8562039136886597,0.6628488302230835,False,1,0.40474268794059753,,500,0.1,21,swish,categorical_smoothed,256
128,0.0001,1.0216163396835327,2.3730499744415283,,xSjcC,0.04558461159467697,0.7320535778999329,True,1,0.39183738827705383,0.04558461159467697,500,0.5,21,swish,ordinal_vanilla,512
